insert into hack.cls_eu_timeid, descritpion values(1;"From 04:00 to 04:09");
insert into hack.cls_eu_timeid, descritpion values(2;"From 04:10 to 04:19");
insert into hack.cls_eu_timeid, descritpion values(3;"From 04:20 to 04:29");
insert into hack.cls_eu_timeid, descritpion values(4;"From 04:30 to 04:39");
insert into hack.cls_eu_timeid, descritpion values(5;"From 04:40 to 04:49");
insert into hack.cls_eu_timeid, descritpion values(6;"From 04:50 to 04:59");
insert into hack.cls_eu_timeid, descritpion values(7;"From 05:00 to 05:09");
insert into hack.cls_eu_timeid, descritpion values(8;"From 05:10 to 05:19");
insert into hack.cls_eu_timeid, descritpion values(9;"From 05:20 to 05:29");
insert into hack.cls_eu_timeid, descritpion values(10;"From 05:30 to 05:39");
insert into hack.cls_eu_timeid, descritpion values(11;"From 05:40 to 05:49");
insert into hack.cls_eu_timeid, descritpion values(12;"From 05:50 to 05:59");
insert into hack.cls_eu_timeid, descritpion values(13;"From 06:00 to 06:09");
insert into hack.cls_eu_timeid, descritpion values(14;"From 06:10 to 06:19");
insert into hack.cls_eu_timeid, descritpion values(15;"From 06:20 to 06:29");
insert into hack.cls_eu_timeid, descritpion values(16;"From 06:30 to 06:39");
insert into hack.cls_eu_timeid, descritpion values(17;"From 06:40 to 06:49");
insert into hack.cls_eu_timeid, descritpion values(18;"From 06:50 to 06:59");
insert into hack.cls_eu_timeid, descritpion values(19;"From 07:00 to 07:09");
insert into hack.cls_eu_timeid, descritpion values(20;"From 07:10 to 07:19");
insert into hack.cls_eu_timeid, descritpion values(21;"From 07:20 to 07:29");
insert into hack.cls_eu_timeid, descritpion values(22;"From 07:30 to 07:39");
insert into hack.cls_eu_timeid, descritpion values(23;"From 07:40 to 07:49");
insert into hack.cls_eu_timeid, descritpion values(24;"From 07:50 to 07:59");
insert into hack.cls_eu_timeid, descritpion values(25;"From 08:00 to 08:09");
insert into hack.cls_eu_timeid, descritpion values(26;"From 08:10 to 08:19");
insert into hack.cls_eu_timeid, descritpion values(27;"From 08:20 to 08:29");
insert into hack.cls_eu_timeid, descritpion values(28;"From 08:30 to 08:39");
insert into hack.cls_eu_timeid, descritpion values(29;"From 08:40 to 08:49");
insert into hack.cls_eu_timeid, descritpion values(30;"From 08:50 to 08:59");
insert into hack.cls_eu_timeid, descritpion values(31;"From 09:00 to 09:09");
insert into hack.cls_eu_timeid, descritpion values(32;"From 09:10 to 09:19");
insert into hack.cls_eu_timeid, descritpion values(33;"From 09:20 to 09:29");
insert into hack.cls_eu_timeid, descritpion values(34;"From 09:30 to 09:39");
insert into hack.cls_eu_timeid, descritpion values(35;"From 09:40 to 09:49");
insert into hack.cls_eu_timeid, descritpion values(36;"From 09:50 to 09:59");
insert into hack.cls_eu_timeid, descritpion values(37;"From 10:00 to 10:09");
insert into hack.cls_eu_timeid, descritpion values(38;"From 10:10 to 10:19");
insert into hack.cls_eu_timeid, descritpion values(39;"From 10:20 to 10:29");
insert into hack.cls_eu_timeid, descritpion values(40;"From 10:30 to 10:39");
insert into hack.cls_eu_timeid, descritpion values(41;"From 10:40 to 10:49");
insert into hack.cls_eu_timeid, descritpion values(42;"From 10:50 to 10:59");
insert into hack.cls_eu_timeid, descritpion values(43;"From 11:00 to 11:09");
insert into hack.cls_eu_timeid, descritpion values(44;"From 11:10 to 11:19");
insert into hack.cls_eu_timeid, descritpion values(45;"From 11:20 to 11:29");
insert into hack.cls_eu_timeid, descritpion values(46;"From 11:30 to 11:39");
insert into hack.cls_eu_timeid, descritpion values(47;"From 11:40 to 11:49");
insert into hack.cls_eu_timeid, descritpion values(48;"From 11:50 to 11:59");
insert into hack.cls_eu_timeid, descritpion values(49;"From 12:00 to 12:09");
insert into hack.cls_eu_timeid, descritpion values(50;"From 12:10 to 12:19");
insert into hack.cls_eu_timeid, descritpion values(51;"From 12:20 to 12:29");
insert into hack.cls_eu_timeid, descritpion values(52;"From 12:30 to 12:39");
insert into hack.cls_eu_timeid, descritpion values(53;"From 12:40 to 12:49");
insert into hack.cls_eu_timeid, descritpion values(54;"From 12:50 to 12:59");
insert into hack.cls_eu_timeid, descritpion values(55;"From 13:00 to 13:09");
insert into hack.cls_eu_timeid, descritpion values(56;"From 13:10 to 13:19");
insert into hack.cls_eu_timeid, descritpion values(57;"From 13:20 to 13:29");
insert into hack.cls_eu_timeid, descritpion values(58;"From 13:30 to 13:39");
insert into hack.cls_eu_timeid, descritpion values(59;"From 13:40 to 13:49");
insert into hack.cls_eu_timeid, descritpion values(60;"From 13:50 to 13:59");
insert into hack.cls_eu_timeid, descritpion values(61;"From 14:00 to 14:09");
insert into hack.cls_eu_timeid, descritpion values(62;"From 14:10 to 14:19");
insert into hack.cls_eu_timeid, descritpion values(63;"From 14:20 to 14:29");
insert into hack.cls_eu_timeid, descritpion values(64;"From 14:30 to 14:39");
insert into hack.cls_eu_timeid, descritpion values(65;"From 14:40 to 14:49");
insert into hack.cls_eu_timeid, descritpion values(66;"From 14:50 to 14:59");
insert into hack.cls_eu_timeid, descritpion values(67;"From 15:00 to 15:09");
insert into hack.cls_eu_timeid, descritpion values(68;"From 15:10 to 15:19");
insert into hack.cls_eu_timeid, descritpion values(69;"From 15:20 to 15:29");
insert into hack.cls_eu_timeid, descritpion values(70;"From 15:30 to 15:39");
insert into hack.cls_eu_timeid, descritpion values(71;"From 15:40 to 15:49");
insert into hack.cls_eu_timeid, descritpion values(72;"From 15:50 to 15:59");
insert into hack.cls_eu_timeid, descritpion values(73;"From 16:00 to 16:09");
insert into hack.cls_eu_timeid, descritpion values(74;"From 16:10 to 16:19");
insert into hack.cls_eu_timeid, descritpion values(75;"From 16:20 to 16:29");
insert into hack.cls_eu_timeid, descritpion values(76;"From 16:30 to 16:39");
insert into hack.cls_eu_timeid, descritpion values(77;"From 16:40 to 16:49");
insert into hack.cls_eu_timeid, descritpion values(78;"From 16:50 to 16:59");
insert into hack.cls_eu_timeid, descritpion values(79;"From 17:00 to 17:09");
insert into hack.cls_eu_timeid, descritpion values(80;"From 17:10 to 17:19");
insert into hack.cls_eu_timeid, descritpion values(81;"From 17:20 to 17:29");
insert into hack.cls_eu_timeid, descritpion values(82;"From 17:30 to 17:39");
insert into hack.cls_eu_timeid, descritpion values(83;"From 17:40 to 17:49");
insert into hack.cls_eu_timeid, descritpion values(84;"From 17:50 to 17:59");
insert into hack.cls_eu_timeid, descritpion values(85;"From 18:00 to 18:09");
insert into hack.cls_eu_timeid, descritpion values(86;"From 18:10 to 18:19");
insert into hack.cls_eu_timeid, descritpion values(87;"From 18:20 to 18:29");
insert into hack.cls_eu_timeid, descritpion values(88;"From 18:30 to 18:39");
insert into hack.cls_eu_timeid, descritpion values(89;"From 18:40 to 18:49");
insert into hack.cls_eu_timeid, descritpion values(90;"From 18:50 to 18:59");
insert into hack.cls_eu_timeid, descritpion values(91;"From 19:00 to 19:09");
insert into hack.cls_eu_timeid, descritpion values(92;"From 19:10 to 19:19");
insert into hack.cls_eu_timeid, descritpion values(93;"From 19:20 to 19:29");
insert into hack.cls_eu_timeid, descritpion values(94;"From 19:30 to 19:39");
insert into hack.cls_eu_timeid, descritpion values(95;"From 19:40 to 19:49");
insert into hack.cls_eu_timeid, descritpion values(96;"From 19:50 to 19:59");
insert into hack.cls_eu_timeid, descritpion values(97;"From 20:00 to 20:09");
insert into hack.cls_eu_timeid, descritpion values(98;"From 20:10 to 20:19");
insert into hack.cls_eu_timeid, descritpion values(99;"From 20:20 to 20:29");
insert into hack.cls_eu_timeid, descritpion values(100;"From 20:30 to 20:39");
insert into hack.cls_eu_timeid, descritpion values(101;"From 20:40 to 20:49");
insert into hack.cls_eu_timeid, descritpion values(102;"From 20:50 to 20:59");
insert into hack.cls_eu_timeid, descritpion values(103;"From 21:00 to 21:09");
insert into hack.cls_eu_timeid, descritpion values(104;"From 21:10 to 21:19");
insert into hack.cls_eu_timeid, descritpion values(105;"From 21:20 to 21:29");
insert into hack.cls_eu_timeid, descritpion values(106;"From 21:30 to 21:39");
insert into hack.cls_eu_timeid, descritpion values(107;"From 21:40 to 21:49");
insert into hack.cls_eu_timeid, descritpion values(108;"From 21:50 to 21:59");
insert into hack.cls_eu_timeid, descritpion values(109;"From 22:00 to 22:09");
insert into hack.cls_eu_timeid, descritpion values(110;"From 22:10 to 22:19");
insert into hack.cls_eu_timeid, descritpion values(111;"From 22:20 to 22:29");
insert into hack.cls_eu_timeid, descritpion values(112;"From 22:30 to 22:39");
insert into hack.cls_eu_timeid, descritpion values(113;"From 22:40 to 22:49");
insert into hack.cls_eu_timeid, descritpion values(114;"From 22:50 to 22:59");
insert into hack.cls_eu_timeid, descritpion values(115;"From 23:00 to 23:09");
insert into hack.cls_eu_timeid, descritpion values(116;"From 23:10 to 23:19");
insert into hack.cls_eu_timeid, descritpion values(117;"From 23:20 to 23:29");
insert into hack.cls_eu_timeid, descritpion values(118;"From 23:30 to 23:39");
insert into hack.cls_eu_timeid, descritpion values(119;"From 23:40 to 23:49");
insert into hack.cls_eu_timeid, descritpion values(120;"From 23:50 to 23:59");
insert into hack.cls_eu_timeid, descritpion values(121;"From 00:00 to 00:09");
insert into hack.cls_eu_timeid, descritpion values(122;"From 00:10 to 00:19");
insert into hack.cls_eu_timeid, descritpion values(123;"From 00:20 to 00:29");
insert into hack.cls_eu_timeid, descritpion values(124;"From 00:30 to 00:39");
insert into hack.cls_eu_timeid, descritpion values(123;"From 00:40 to 00:49");
insert into hack.cls_eu_timeid, descritpion values(124;"From 00:50 to 00:59");
insert into hack.cls_eu_timeid, descritpion values(125;"From 01:00 to 01:09");
insert into hack.cls_eu_timeid, descritpion values(126;"From 01:10 to 01:19");
insert into hack.cls_eu_timeid, descritpion values(127;"From 01:20 to 01:29");
insert into hack.cls_eu_timeid, descritpion values(128;"From 01:30 to 01:39");
insert into hack.cls_eu_timeid, descritpion values(129;"From 01:40 to 01:49");
insert into hack.cls_eu_timeid, descritpion values(130;"From 01:50 to 01:59");
insert into hack.cls_eu_timeid, descritpion values(131;"From 02:00 to 02:09");
insert into hack.cls_eu_timeid, descritpion values(132;"From 02:10 to 02:19");
insert into hack.cls_eu_timeid, descritpion values(133;"From 02:20 to 02:29");
insert into hack.cls_eu_timeid, descritpion values(134;"From 02:30 to 02:39");
insert into hack.cls_eu_timeid, descritpion values(135;"From 02:40 to 02:49");
insert into hack.cls_eu_timeid, descritpion values(136;"From 02:50 to 02:59");
insert into hack.cls_eu_timeid, descritpion values(137;"From 03:00 to 03:09");
insert into hack.cls_eu_timeid, descritpion values(138;"From 03:10 to 03:19");
insert into hack.cls_eu_timeid, descritpion values(139;"From 03:20 to 03:29");
insert into hack.cls_eu_timeid, descritpion values(140;"From 03:30 to 03:39");
insert into hack.cls_eu_timeid, descritpion values(141;"From 03:40 to 03:49");
insert into hack.cls_eu_timeid, descritpion values(142;"From 03:50 to 03:59");
